,Title,URL,Year,Rating,Actors,Director
145,Mr. Smith Goes to Washington,http://www.imdb.com/title/tt0031679/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146,1939,8.2," James Stewart, Jean Arthur",Frank Capra 
146,The Elephant Man,http://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147,1980,8.1," Anthony Hopkins, John Hurt",David Lynch 
147,The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148,2013,8.1," Leonardo DiCaprio, Jonah Hill",Martin Scorsese 
148,V for Vendetta,http://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149,2005,8.1," Hugo Weaving, Natalie Portman",James McTeigue 
149,Blade Runner,http://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150,1982,8.1," Harrison Ford, Rutger Hauer",Ridley Scott 
150,Smultronstället,http://www.imdb.com/title/tt0050986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151,1957,8.1," Victor Sjöström, Bibi Andersson",Ingmar Bergman 
151,The General,http://www.imdb.com/title/tt0017925/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152,1926,8.1," Buster Keaton, Marion Mack",Clyde Bruckman 
152,Warrior,http://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153,2011,8.1," Tom Hardy, Nick Nolte",Gavin O'Connor 
153,Dial M for Murder,http://www.imdb.com/title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154,1954,8.1," Ray Milland, Grace Kelly",Alfred Hitchcock 
154,Trainspotting,http://www.imdb.com/title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155,1996,8.1," Ewan McGregor, Ewen Bremner",Danny Boyle 
155,Gone with the Wind,http://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156,1939,8.1," Clark Gable, Vivien Leigh",Victor Fleming 
156,Gran Torino,http://www.imdb.com/title/tt1205489/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157,2008,8.1," Clint Eastwood, Bee Vang",Clint Eastwood 
157,No Country for Old Men,http://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158,2007,8.1," Tommy Lee Jones, Javier Bardem",Ethan Coen 
158,The Sixth Sense,http://www.imdb.com/title/tt0167404/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159,1999,8.1," Bruce Willis, Haley Joel Osment",M. Night Shyamalan 
159,Fargo,http://www.imdb.com/title/tt0116282/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_160,1996,8.1," William H. Macy, Frances McDormand",Joel Coen 
160,The Deer Hunter,http://www.imdb.com/title/tt0077416/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_161,1978,8.1," Robert De Niro, Christopher Walken",Michael Cimino 
161,Blade Runner 2049,http://www.imdb.com/title/tt1856101/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162,2017,8.1," Harrison Ford, Ryan Gosling",Denis Villeneuve 
162,The Thing,http://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_163,1982,8.1," Kurt Russell, Wilford Brimley",John Carpenter 
163,There Will Be Blood,http://www.imdb.com/title/tt0469494/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_164,2007,8.1," Daniel Day-Lewis, Paul Dano",Paul Thomas Anderson 
164,Finding Nemo,http://www.imdb.com/title/tt0266543/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_165,2003,8.1," Albert Brooks, Ellen DeGeneres",Andrew Stanton 
165,The Big Lebowski,http://www.imdb.com/title/tt0118715/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_166,1998,8.1," Jeff Bridges, John Goodman",Joel Coen 
166,Sunrise: A Song of Two Humans,http://www.imdb.com/title/tt0018455/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_167,1927,8.1," George O'Brien, Janet Gaynor",F.W. Murnau 
167,Idi i smotri,http://www.imdb.com/title/tt0091251/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_168,1985,8.1," Aleksey Kravchenko, Olga Mironova",Elem Klimov 
168,Cool Hand Luke,http://www.imdb.com/title/tt0061512/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_169,1967,8.1," Paul Newman, George Kennedy",Stuart Rosenberg 
169,Tôkyô monogatari,http://www.imdb.com/title/tt0046438/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_170,1953,8.1," Chishû Ryû, Chieko Higashiyama",Yasujirô Ozu 
170,Kill Bill: Vol. 1,http://www.imdb.com/title/tt0266697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_171,2003,8.1," Uma Thurman, David Carradine",Quentin Tarantino 
171,Rebecca,http://www.imdb.com/title/tt0032976/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_172,1940,8.1," Laurence Olivier, Joan Fontaine",Alfred Hitchcock 
172,Andrei Rublev,http://www.imdb.com/title/tt0060107/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_173,1966,8.1," Anatoliy Solonitsyn, Ivan Lapikov",Andrei Tarkovsky 
173,Eskiya,http://www.imdb.com/title/tt0116231/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_174,1996,8.1," Sener Sen, Ugur Yücel",Yavuz Turgul 
174,Hacksaw Ridge,http://www.imdb.com/title/tt2119532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_175,2016,8.1," Andrew Garfield, Sam Worthington",Mel Gibson 
175,Shutter Island,http://www.imdb.com/title/tt1130884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_176,2010,8.1," Leonardo DiCaprio, Emily Mortimer",Martin Scorsese 
176,How to Train Your Dragon,http://www.imdb.com/title/tt0892769/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_177,2010,8.1," Jay Baruchel, Gerard Butler",Dean DeBlois 
177,Mary and Max,http://www.imdb.com/title/tt0978762/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_178,2009,8.1," Toni Collette, Philip Seymour Hoffman",Adam Elliot 
178,Gone Girl,http://www.imdb.com/title/tt2267998/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_179,2014,8.1," Ben Affleck, Rosamund Pike",David Fincher 
179,Into the Wild,http://www.imdb.com/title/tt0758758/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_180,2007,8.1," Emile Hirsch, Vince Vaughn",Sean Penn 
180,Rang De Basanti,http://www.imdb.com/title/tt0405508/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_181,2006,8.1," Aamir Khan, Soha Ali Khan",Rakeysh Omprakash Mehra 
181,Life of Brian,http://www.imdb.com/title/tt0079470/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_182,1979,8.1," Graham Chapman, John Cleese",Terry Jones 
182,Relatos salvajes,http://www.imdb.com/title/tt3011894/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_183,2014,8.1," Darío Grandinetti, María Marull",Damián Szifron 
183,It Happened One Night,http://www.imdb.com/title/tt0025316/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_184,1934,8.1," Clark Gable, Claudette Colbert",Frank Capra 
184,La passion de Jeanne d'Arc,http://www.imdb.com/title/tt0019254/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_185,1928,8.1," Maria Falconetti, Eugene Silvain",Carl Theodor Dreyer 
185,Platoon,http://www.imdb.com/title/tt0091763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_186,1986,8.1," Charlie Sheen, Tom Berenger",Oliver Stone 
186,In the Name of the Father,http://www.imdb.com/title/tt0107207/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_187,1993,8.1," Daniel Day-Lewis, Pete Postlethwaite",Jim Sheridan 
187,Hotel Rwanda,http://www.imdb.com/title/tt0395169/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_188,2004,8.1," Don Cheadle, Sophie Okonedo",Terry George 
188,Network,http://www.imdb.com/title/tt0074958/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_189,1976,8.1," Faye Dunaway, William Holden",Sidney Lumet 
189,Stand by Me,http://www.imdb.com/title/tt0092005/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_190,1986,8.1," Wil Wheaton, River Phoenix",Rob Reiner 
190,Le salaire de la peur,http://www.imdb.com/title/tt0046268/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_191,1953,8.1," Yves Montand, Charles Vanel",Henri-Georges Clouzot 
191,The Grand Budapest Hotel,http://www.imdb.com/title/tt2278388/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_192,2014,8.1," Ralph Fiennes, F. Murray Abraham",Wes Anderson 
192,Rush,http://www.imdb.com/title/tt1979320/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_193,2013,8.1," Daniel Brühl, Chris Hemsworth",Ron Howard 
193,Ben-Hur,http://www.imdb.com/title/tt0052618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_194,1959,8.1," Charlton Heston, Jack Hawkins",William Wyler 
194,Stalker,http://www.imdb.com/title/tt0079944/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_195,1979,8.1," Alisa Freyndlikh, Aleksandr Kaydanovskiy",Andrei Tarkovsky 
195,Persona,http://www.imdb.com/title/tt0060827/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_196,1966,8.1," Bibi Andersson, Liv Ullmann",Ingmar Bergman 
196,Jurassic Park,http://www.imdb.com/title/tt0107290/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_197,1993,8.1," Sam Neill, Laura Dern",Steven Spielberg 
197,Salinui chueok,http://www.imdb.com/title/tt0353969/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_198,2003,8.1," Kang-ho Song, Sang-kyung Kim",Joon-ho Bong 
198,12 Years a Slave,http://www.imdb.com/title/tt2024544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_199,2013,8.1," Chiwetel Ejiofor, Michael Kenneth Williams",Steve McQueen 
199,Million Dollar Baby,http://www.imdb.com/title/tt0405159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_200,2004,8.1," Hilary Swank, Clint Eastwood",Clint Eastwood 
200,Les quatre cents coups,http://www.imdb.com/title/tt0053198/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_201,1959,8.1," Jean-Pierre Léaud, Albert Rémy",François Truffaut 
201,The Truman Show,http://www.imdb.com/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_202,1998,8.1," Jim Carrey, Ed Harris",Peter Weir 
202,Mad Max: Fury Road,http://www.imdb.com/title/tt1392190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_203,2015,8.1," Tom Hardy, Charlize Theron",George Miller 
203,Spotlight,http://www.imdb.com/title/tt1895587/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_204,2015,8.1," Mark Ruffalo, Michael Keaton",Tom McCarthy 
204,Logan,http://www.imdb.com/title/tt3315342/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_205,2017,8.1," Hugh Jackman, Patrick Stewart",James Mangold 
205,Amores perros,http://www.imdb.com/title/tt0245712/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_206,2000,8.1," Emilio Echevarría, Gael García Bernal",Alejandro G. Iñárritu 
206,La La Land,http://www.imdb.com/title/tt3783958/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_207,2016,8.1," Ryan Gosling, Emma Stone",Damien Chazelle 
207,Before Sunrise,http://www.imdb.com/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_208,1995,8.1," Ethan Hawke, Julie Delpy",Richard Linklater 
208,Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_209,1969,8.1," Paul Newman, Robert Redford",George Roy Hill 
209,Hachi: A Dog's Tale,http://www.imdb.com/title/tt1028532/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_210,2009,8.1," Richard Gere, Joan Allen",Lasse Hallström 
210,A Wednesday,http://www.imdb.com/title/tt1280558/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_211,2008,8.1," Anupam Kher, Naseeruddin Shah",Neeraj Pandey 
211,Kaze no tani no Naushika,http://www.imdb.com/title/tt0087544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_212,1984,8.1," Sumi Shimamoto, Mahito Tsujimura",Hayao Miyazaki 
212,The Princess Bride,http://www.imdb.com/title/tt0093779/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_213,1987,8.1," Cary Elwes, Mandy Patinkin",Rob Reiner 
213,Prisoners,http://www.imdb.com/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_214,2013,8.0," Hugh Jackman, Jake Gyllenhaal",Denis Villeneuve 
214,The Maltese Falcon,http://www.imdb.com/title/tt0033870/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_215,1941,8.0," Humphrey Bogart, Mary Astor",John Huston 
215,Catch Me If You Can,http://www.imdb.com/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_216,2002,8.0," Leonardo DiCaprio, Tom Hanks",Steven Spielberg 
216,Harry Potter and the Deathly Hallows: Part 2,http://www.imdb.com/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_217,2011,8.0," Daniel Radcliffe, Emma Watson",David Yates 
217,Le notti di Cabiria,http://www.imdb.com/title/tt0050783/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_218,1957,8.0," Giulietta Masina, François Périer",Federico Fellini 
